Unnamed: 0,school_year,school_id,cluster,remoteness_index,total_recieving_cct,cct_percentage,comments,original_water_boolean,nowater,original_internet_boolean,no_internet,noelec,original_electricity_boolean,instructional__rooms_,student_classroom_ratio,total_teachers,student_teacher_ratio,Lat,Lon,school_name,Region,division,province,municipality,district,total_female,total_male,total_enrollment,nat_score
15121,2016,114801,Accessible,-303.1,163,72.44444444,,1,0,0,1,0,1,8,28.125,8,28.125,11.411211,122.248306,Agtughangin IS,Region VI,Aklan,Aklan,Madalag,Madalag,101,124,225,16
20200,2017,118601,1,543.2,0,0,,1,0,1,0,0,1,8,19.25,7,22,10.128915,124.588573,Saguise elementary school,Region VII,Bohol,Bohol,Pres. Carlos P. Garcia (Pitogo),2nd District,81,73,154,61
12345,2016,114305,Accessible,-561.9,9,2.931596091,,0,1,1,0,0,1,10,30.7,12,25.58333333,12.539972,124.054864,Bon-ot (Big) ES,Region V,Sorsogon,Sorsogon,Matnog,Matnog,135,172,307,32
20207,2017,119408,2,-208.6,0,0,,1,0,0,1,0,1,11,12.54545455,7,19.71428571,0,0,Salamanca ES,Region VII,Cebu,Cebu,Ginatilan,2nd District,58,80,138,80
33628,2016,132483,Accessible,-716.6,13,11.50442478,,1,0,0,1,0,1,5,22.6,4,28.25,9.663946,125.574974,Suyoc ES,CARAGA,Surigao del Norte,Surigao Del Norte,Placer,Placer II,56,57,113,50
20574,2017,120604,2,-574.8,7,0.902061856,,1,0,1,0,0,1,26,29.84615385,24,32.33333333,9.922607,123.169141,Tayasan CES,Region VII,Negros Oriental,Negros Oriental,Tayasan,1st District,390,386,776,17
25812,2015,126200,Accessible,-606,49,12.86089239,,1,0,0,1,0,1,10,38.1,9,42.33333333,6.989261,122.095739,Lumayang ES,Region IX,Zamboanga City,Zamboanga Del Sur,Zamboanga City,Putik,205,238,381,50
40743,2017,303204,2,-771.4,40,3.872216844,,1,0,1,0,0,1,16,64.5625,44,23.47727273,10.328369,123.933264,Tipolo NHS,Region VII,Mandaue City,Cebu,Mandaue City,6th District,514,519,1033,87
6244,2016,106476,Accessible,-763.75,0,0,,1,0,0,1,0,1,11,25.72727273,7,40.42857143,15.55457291,120.5993003,Parsolingan ES,Region III,Tarlac,Tarlac,Gerona,Gerona South,133,150,283,25
35589,2015,133665,Accessible,-705.6,0,0,,1,0,0,1,0,1,7,47.71428571,13,25.69230769,0,0,Taliogon Elementary School,ARMM,Lanao del Sur - II,Lanao Del Sur,Ganassi,East Ganassi,192,191,334,36
33756,2016,131831,Accessible,-695.5,78,45.88235294,,1,0,0,1,0,1,3,56.66666667,5,34,8.34390728,125.9541658,Valentina ES,CARAGA,Agusan del Sur,Agusan Del Sur,Rosario,Rosario II,90,80,170,68
4295,2016,102777,Accessible,-576.4,31,29.24528302,,1,0,0,1,0,1,5,21.2,4,26.5,18.097688,121.53817,Tucalan Passing ES,Region II,Cagayan,Cagayan,Lasam,Lasam West,50,56,106,5
12493,2017,113059,2,-229,24,11.94029851,,1,0,0,1,0,1,4,50.25,7,28.71428571,13.817994,123.045323,Cotmo ES,Region V,Camarines Sur,Camarines Sur,Sipocot,1st District,76,125,201,38
19477,2017,120390,2,-646.85,26,19.40298507,,1,0,1,0,0,1,9,14.88888889,6,22.33333333,9.696258,123.121956,Libjo ES,Region VII,Negros Oriental,Negros Oriental,Manjuyod,1st District,77,57,134,45
5978,2016,104754,Accessible,-625.6,0,0,,1,0,1,0,0,1,11,29.63636364,9,36.22222222,14.95466231,120.8624008,Matangtubig ES,Region III,Bulacan,Bulacan,Baliuag,Baliuag South,161,165,326,42
1002,2016,101684,Accessible,-690.8,97,37.74319066,,1,0,1,0,0,1,9,28.55555556,7,36.71428571,15.845995,120.353602,Gueteb ES,Region I,"Pangasinan I, Lingayen",Pangasinan,Urbiztondo,Urbiztondo,121,136,257,25
7330,2016,105852,Accessible,-631.4,74,52.11267606,,1,0,0,1,0,1,7,20.28571429,6,23.66666667,15.783003,120.811157,Villa Rosenda Elementary School,Region III,Nueva Ecija,Nueva Ecija,Talugtug,Talugtug,62,80,142,52
16118,2017,116951,2,-491,43,13.91585761,,1,0,1,0,0,1,12,25.75,9,34.33333333,9.826363,122.608259,Haba ES,Region VI,Negros Occidental,Negros Occidental,City Of Sipalay,6th District,142,167,309,23
35049,2015,133402,Accessible,-685.6,45,13.80368098,,1,0,0,1,0,1,2,163,6,54.33333333,0,0,Minanga ES,ARMM,Lanao del Sur - I,Lanao Del Sur,Masiu,Masiu A District,201,172,326,32
21946,2015,120803,Accessible,-475.6,44,9.341825902,,1,0,0,1,0,1,14,33.64285714,14,33.64285714,11.570127,124.578827,Caibiran Sped Center,Region VIII,Biliran,Biliran,Caibiran,Caibiran,233,254,471,94
39678,2016,301393,Accessible,-556.8,489,50.15384615,,1,0,1,0,0,1,30,32.5,35,27.85714286,13.669269,122.22218,"San Isidro NHS, Gen. Luna",Region IV-A,Quezon,Quezon,General Luna,Gen. Luna,0,0,975,30
16365,2015,117574,Accessible,-760.3,3,0.572519084,,1,0,0,1,0,1,14,37.42857143,16,32.75,10.974221,123.196594,Gen. A. Lacson ES,NIR,Cadiz City,Negros Occidental,Cadiz City,Cadiz City IV District,253,344,524,52
11905,2016,112130,Accessible,-780.2,55,15.10989011,,1,0,1,0,0,1,14,26,11,33.09090909,14.116754,122.949993,A. Pabico Abordo ES,Region V,Camarines Norte,Camarines Norte,Daet (Capital),Daet North,173,191,364,64
10798,2017,111068,2,-606,42,11.38211382,,1,0,1,0,0,1,14,26.35714286,12,30.75,9.32322,118.45488,Malatgao Elementary School,Region IV-B,Palawan,Palawan,Narra,2nd District,172,197,369,16
36728,2016,135355,Accessible,-628.55,41,39.80582524,,1,0,0,1,0,1,7,14.71428571,6,17.16666667,18.1097,121.3561,Malibang ES,CAR,Apayao,Apayao,Pudtol,Pudtol,50,53,103,76
12843,2016,112027,Accessible,-626.6,0,0,,0,1,0,1,0,1,7,29,7,29,13.220136,124.03415,Dapdap Elementary School,Region V,Albay,Albay,Rapu-Rapu,Rapu-Rapu East (Rapu-Rapu),104,99,203,58
25877,2016,196023,Accessible,-670.9,13,4.980842912,,1,0,1,0,0,1,10,26.1,12,21.75,8.097279,123.448152,Mahayag SPED Center,Region IX,Zamboanga del Sur,Zamboanga Del Sur,Mahayag,Mahayag North,143,118,261,30
7653,2016,108798,Accessible,-626.2,57,35.8490566,,1,0,0,1,0,1,4,39.75,7,22.71428571,13.896535,122.271566,Bebito ES,Region IV-A,Quezon,Quezon,Lopez,Lopez East,75,84,159,9
